,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
150,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,WH1142 (C),5.2,81.3,8.8,42.7,6.0,34.1,30.2,0
151,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,HD3043 (C),5.6,82.2,9.7,40.0,7.0,29.7,34.3,0
152,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,PBW644 (C),5.6,81.4,8.5,38.0,6.5,33.9,28.9,0
153,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,NW7096,6.0,80.8,9.6,49.6,6.5,35.4,33.0,0
154,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,DBW321,6.0,80.7,9.1,51.5,6.0,35.3,30.2,0
155,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,K1910,5.8,83.0,9.4,41.9,2.0,38.8,35.6,0
156,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,HI1654,5.6,81.5,9.9,49.6,6.0,36.1,32.2,0
157,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,PBW838,5.4,81.4,8.6,45.0,6.0,34.0,32.2,0
158,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,HD3369,5.6,81.4,10.1,56.1,6.0,33.2,29.3,0
159,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,UP3062,5.2,80.7,9.5,34.2,6.5,35.6,35.9,0
160,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,HD3368,5.6,80.5,9.2,45.0,7.0,34.9,32.2,0
161,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,HI1653,6.0,80.2,9.4,51.5,7.0,29.8,26.1,0
162,North West Plains Zone (NWPZ),Pantnagar,Restricted Irrigated Timely Sown,PBW848,5.8,81.1,9.8,43.8,6.5,33.9,33.0,0
163,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,HUW838#*,4.2,70.8,15.2,59.2,6.5,41.9,50.6,1
164,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,DBW296*,4.2,69.6,15.4,69.2,5.5,45.3,46.1,1
165,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,NIAW3170 (C),4.4,67.2,14.6,57.3,6.5,42.2,40.5,1
166,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,HI1628 (C),4.6,72.8,14.4,67.7,6.0,43.0,51.2,1
167,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,WH1142 (C),4.2,66.2,16.5,62.7,6.5,46.5,48.6,1
168,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,HD3043 (C),4.2,70.0,16.3,53.4,7.0,43.8,51.3,1
169,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,PBW644 (C),4.6,72.6,14.2,53.4,6.5,44.2,52.3,1
170,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,NW7096,4.0,68.7,15.1,50.7,6.5,42.8,49.4,1
171,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,DBW321,4.0,66.8,13.2,53.4,7.0,39.3,33.0,0
172,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,K1910,4.2,71.7,13.5,44.2,5.0,41.3,47.9,1
173,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,HI1654,4.2,70.4,15.0,62.3,6.5,39.5,35.4,0
174,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,PBW838,4.2,69.6,14.3,56.5,6.5,43.9,40.0,1
175,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,HD3369,4.8,69.9,14.5,70.4,6.5,44.8,37.2,0
176,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,UP3062,4.6,71.4,15.7,50.4,6.5,44.8,36.6,0
177,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,HD3368,5.0,75.9,12.4,61.1,7.0,42.8,32.2,0
178,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,HI1653,4.4,68.5,13.5,67.3,7.0,39.5,30.2,0
179,North West Plains Zone (NWPZ),Durgapura,Restricted Irrigated Timely Sown,PBW848,4.4,69.7,15.9,48.4,6.5,42.4,46.7,1
